time,ax,ay,az,at
1.507,-0.0514,-0.0033,0.065,0.083
1.514,-0.0375,-0.0043,0.104,0.111
1.519,-0.0382,-0.0032,0.1216,0.127
1.524,-0.0288,-0.0213,0.1248,0.13
1.53,-0.0289,-0.0251,0.1139,0.12
1.534,-0.0287,-0.0313,0.0984,0.107
1.539,-0.045,-0.0303,0.0521,0.075
1.543,-0.0515,-0.0434,0.0086,0.068
1.551,-0.0461,-0.0635,-0.0464,0.091
1.554,-0.0571,-0.0524,-0.0796,0.111
1.561,-0.0682,-0.0341,-0.0961,0.123
1.568,-0.0817,-0.0323,-0.1149,0.145
1.569,-0.079,-0.0186,-0.1431,0.165
1.574,-0.0792,-0.0144,-0.1522,0.172
1.581,-0.0773,-0.0385,-0.1686,0.189
1.584,-0.0758,-0.0265,-0.1873,0.204
1.589,-0.0769,-0.0288,-0.1775,0.196
1.593,-0.0523,-0.0165,-0.1489,0.159
1.6,-0.054,-0.0185,-0.1087,0.123
1.606,-0.032,-0.0156,-0.0452,0.058
1.609,-0.0028,-0.0366,0.025,0.044
1.615,0.0003,-0.0363,0.1066,0.113
1.62,0.0158,-0.0503,0.164,0.172
1.625,0.001,-0.0765,0.2069,0.221
1.63,0.0033,-0.0909,0.2116,0.23
1.636,-0.0177,-0.122,0.1951,0.231
1.641,-0.036,-0.0864,0.1455,0.173
1.645,-0.0518,-0.0891,0.0988,0.143
1.651,-0.0913,-0.0822,0.0405,0.129
1.655,-0.0808,-0.0825,0.0112,0.116
1.661,-0.0633,-0.04,-0.018,0.077
1.667,-0.0675,-0.0288,-0.016,0.075
1.672,-0.0174,0.0037,-0.007,0.019
1.675,-0.0249,0.0216,0.0115,0.035
1.681,-0.0064,0.0226,0.0298,0.038
1.687,0.0499,0.0495,0.06,0.092
1.69,0.0727,0.0307,0.0782,0.111
1.697,0.0813,0.0167,0.0821,0.117
1.702,0.1113,0.0096,0.0837,0.14
1.708,0.1033,-0.0118,0.1021,0.146
1.711,0.0952,0.0166,0.0657,0.117
1.716,0.0849,0.0329,0.0559,0.107
1.723,0.0628,0.0325,0.0294,0.077
1.728,0.0622,0.0419,-0.023,0.078
1.731,0.045,0.0298,-0.0347,0.064
1.737,0.0423,0.044,-0.0083,0.062
1.742,0.0539,0.0272,0.0013,0.06
1.75,0.0629,0.0438,0.0298,0.082
1.754,0.0721,0.0432,0.0796,0.116
1.757,0.1244,0.0306,0.1364,0.187
1.763,0.1439,0.0343,0.2024,0.251
1.767,0.164,0.019,0.2324,0.285
1.772,0.1829,-0.006,0.2792,0.334
1.777,0.1988,-0.0143,0.3497,0.403
1.783,0.233,-0.0392,0.3678,0.437
1.787,0.2093,-0.0545,0.3742,0.432
1.792,0.1801,-0.0815,0.369,0.419
1.797,0.0904,-0.0824,0.3284,0.35
1.803,0.0566,-0.062,0.2836,0.296
1.807,0.0066,-0.0492,0.2584,0.263
1.813,-0.0388,-0.0346,0.2145,0.221
1.818,-0.0537,-0.0327,0.1759,0.187
1.822,-0.0908,-0.0268,0.1688,0.194
1.828,-0.0903,-0.0693,0.1453,0.185
1.832,-0.0642,-0.0931,0.1603,0.196
1.839,-0.0292,-0.0937,0.1397,0.171
1.844,-0.0038,-0.0875,0.0983,0.132
1.851,0.0074,-0.1076,0.0312,0.112
1.855,0.0114,-0.08,-0.0567,0.099
1.859,0.0123,-0.062,-0.1322,0.147
1.864,0.0084,-0.0484,-0.2357,0.241
1.868,-0.0196,0.0012,-0.2793,0.28
1.873,-0.0549,0.0465,-0.3609,0.368
1.881,-0.0434,0.0851,-0.4211,0.432
1.884,-0.0472,0.1005,-0.4386,0.452
1.89,-0.068,0.1024,-0.4445,0.461
1.894,-0.0774,0.0907,-0.4295,0.446
1.899,-0.0686,0.0727,-0.4032,0.415
1.905,-0.0628,0.0481,-0.3608,0.369
1.909,-0.0289,0.005,-0.2976,0.299
1.916,0.0022,-0.0209,-0.2492,0.25
1.92,0.0138,-0.0894,-0.218,0.236
1.924,0.0299,-0.1169,-0.206,0.239
1.93,0.0293,-0.1108,-0.2179,0.246
1.934,-0.0002,-0.1117,-0.237,0.262
1.94,-0.0012,-0.1099,-0.2751,0.296
1.946,-0.0215,-0.084,-0.3108,0.323
1.952,-0.0043,-0.0767,-0.3204,0.33
1.957,0.0194,-0.0524,-0.3327,0.337
1.959,0.0001,-0.035,-0.3048,0.307
1.965,0.0207,-0.0269,-0.2584,0.261
1.971,0.0311,-0.0304,-0.2316,0.236
1.975,0.0577,-0.0148,-0.1434,0.155
1.98,0.0695,-0.0255,-0.0679,0.1
1.986,0.0691,-0.0196,0.0165,0.074
1.99,0.0947,-0.0187,0.0552,0.111
1.995,0.0936,-0.0513,0.0935,0.142
2.001,0.0856,-0.0411,0.1364,0.166
2.006,0.0779,-0.0406,0.1792,0.2
2.01,0.0752,-0.0452,0.2217,0.238
2.016,0.0565,-0.0498,0.2379,0.25
2.021,0.0716,-0.038,0.2447,0.258
2.026,0.0729,-0.0453,0.2468,0.261
2.032,0.051,-0.0359,0.2205,0.229
2.037,0.0273,-0.0289,0.1826,0.187
2.041,0.0115,-0.0477,0.1569,0.164
2.048,0.0031,-0.033,0.1195,0.124
2.051,-0.0148,-0.0208,0.1133,0.116
2.057,-0.004,-0.0065,0.1072,0.107
2.062,-0.0149,-0.0258,0.1345,0.138
2.066,0.0007,-0.0074,0.1689,0.169
2.072,0.0161,0.0034,0.1628,0.164
2.076,0.0148,0.0091,0.1261,0.127
2.081,0.0231,0.0288,0.0898,0.097
2.086,0.0172,0.027,0.011,0.034
2.091,0.0116,0.0255,-0.0434,0.052
2.097,0.0321,0.0503,-0.0856,0.104
2.104,0.012,0.0634,-0.1276,0.143
2.107,0.0109,0.0602,-0.1482,0.16
2.112,0.012,0.0836,-0.1759,0.195
2.117,-0.0109,0.081,-0.1799,0.198
2.122,-0.0166,0.0907,-0.1246,0.155
2.127,-0.027,0.0984,-0.0937,0.139
2.132,0.0126,0.0798,-0.0393,0.09
2.138,-0.0242,0.0707,0.0076,0.075
2.142,-0.0062,0.0521,0.0422,0.067
2.151,0.0232,0.0166,0.0554,0.062
2.156,0.0048,0.0025,0.0804,0.081
2.158,0.0029,-0.0022,0.0886,0.089
2.164,0.0081,-0.0048,0.0684,0.069
2.168,-0.0272,-0.0149,0.0842,0.09
2.173,-0.0285,-0.0036,0.0715,0.077
2.179,-0.0228,-0.0139,0.0566,0.063
2.184,-0.0313,-0.0051,0.0679,0.075
2.189,-0.0609,-0.0061,0.0674,0.091
2.193,-0.0521,-0.0119,0.0741,0.091
2.199,-0.0292,-0.0177,0.0571,0.066
2.204,-0.0349,-0.0662,0.0829,0.112
2.209,-0.033,-0.0885,0.1088,0.144
2.215,-0.0453,-0.106,0.1345,0.177
2.219,-0.0313,-0.0904,0.1436,0.173
2.224,0.0303,-0.1419,0.1743,0.227
2.231,0.0155,-0.1221,0.231,0.262
